,phrase,label,sentiment,subjectivity,language,count,gnd,geonames,geotype,latitude,longitude,continent,country,ipcc
Florida,Florida,GPE,0.12427536,1.08478261,en,4.60000000,4017585-6,12217087,L,26.50000000,-81.00000000,NORTH-AMERICA,United States,ENA
Western Alaska,Western Alaska,LOC,-0.11111111,0.13333333,en,4.50000000,,5555920,H,57.24794000,-135.45027000,NORTH-AMERICA,United States,NWN
Atlantic,Atlantic,LOC,0.11941057,0.47560976,en,4.10000000,,12110846,L,40.58629000,-76.28807000,NORTH-AMERICA,United States,ENA
Chile,Chile,GPE,0.02815315,0.54054054,en,3.70000000,4009929-5,3895114,A,-30.00000000,-71.00000000,SOUTH-AMERICA,Chile,SWS
Los Angeles,Los Angeles,GPE,0.09740260,0.30662806,en,3.70000000,4036361-2,5368361,P,34.05223000,-118.24368000,NORTH-AMERICA,United States,WNA
Europe,Europe,LOC,0.19669670,0.51051051,en,3.70000000,,12217848,L,50.28762000,15.19030000,EUROPE,Czechia,WCE
Sandstorm,Sandstorm,GPE,-0.21621622,0.32432432,en,3.70000000,,5511798,S,37.71938000,-117.14341000,NORTH-AMERICA,United States,WNA
Vietnam,Vietnam,GPE,-0.04504505,0.30855856,en,3.70000000,4063514-4,1562822,A,16.16667000,107.83333000,ASIA,Vietnam,SEA
the Atlantic Ocean,the Atlantic Ocean,LOC,0.26636905,0.47383433,en,3.20000000,,4504476,P,39.95373000,-74.19792000,NORTH-AMERICA,United States,ENA
Chivirico,Chivirico,GPE,0.11904762,0.47023810,en,2.80000000,,3564252,P,19.97507000,-76.40987000,CENTRAL-AMERICA,Cuba,CAR
Southern California,Southern California,LOC,-0.04166667,0.50396825,en,2.80000000,,11071615,L,34.68743000,-116.78467000,NORTH-AMERICA,United States,WNA
Patagonia,Patagonia,GPE,-0.01041667,0.53571429,en,2.80000000,,3841798,L,-44.00000000,-68.00000000,SOUTH-AMERICA,Argentina,SSA
San Diego,San Diego,GPE,-0.10714286,0.28571429,en,2.80000000,4269521-1,5391811,P,32.71571000,-117.16472000,CENTRAL-AMERICA,United States,NCA
Taman,Taman,GPE,0.06250000,0.09821429,en,2.80000000,7575825-8,1734660,L,4.76700000,102.44381000,ASIA,Malaysia,SEA
Arctic,Arctic,LOC,0.17857143,0.17857143,en,2.80000000,4002924-4,2960860,H,85.00000000,0.00000000,ARCTIC,,ARO
Central Florida,Central Florida,LOC,-0.01785714,0.53571429,en,2.80000000,,12217913,L,28.58944000,-81.88916000,NORTH-AMERICA,United States,ENA
San Diego County,San Diego County,GPE,-0.06823980,0.29570578,en,2.80000000,4269521-1,5391811,P,32.71571000,-117.16472000,CENTRAL-AMERICA,United States,NCA
Palm Springs,Palm Springs,GPE,-0.01785714,0.25000000,en,2.80000000,4140870-6,5380668,P,33.83030000,-116.54529000,NORTH-AMERICA,United States,WNA
Paris,Paris,GPE,-0.09523810,0.34523810,en,2.80000000,4044660-8,2988507,P,48.85341000,2.34880000,EUROPE,France,WCE
America,America,GPE,0.25576923,0.94230769,en,2.60000000,10107251-X,6255150,L,-14.60485000,-57.65625000,SOUTH-AMERICA,Brazil,SAM
the United States,the United States,GPE,0.04545455,0.20454545,en,2.20000000,,6255150,L,-14.60485000,-57.65625000,SOUTH-AMERICA,Brazil,SAM
Lemmon,Lemmon,GPE,0.34210526,0.36842105,en,1.90000000,,5766453,P,45.94083000,-102.15932000,NORTH-AMERICA,United States,CNA
Rio Bonito,Rio Bonito,GPE,0.11403509,0.19298246,en,1.90000000,,6323588,A,-27.46968000,-53.17038000,SOUTH-AMERICA,Brazil,SES
Scotland,Scotland,GPE,0.18713450,0.39181287,en,1.90000000,4053233-1,5057190,A,40.45260000,-92.14705000,NORTH-AMERICA,United States,CNA
UK,UK,GPE,0.27067669,0.96240602,en,1.90000000,4022153-2,2635167,A,54.75844000,-2.69531000,EUROPE,United Kingdom,NEU
Texas,Texas,GPE,-0.09868421,0.54605263,en,1.90000000,4059594-8,12217092,L,28.92040000,-98.57720000,CENTRAL-AMERICA,United States,NCA
Aurora province,Aurora province,GPE,0.30701754,0.61403509,en,1.90000000,,3555392,L,22.98333000,-82.26667000,CENTRAL-AMERICA,Cuba,CAR
Alaska Native,Alaska Native,GPE,0.00000000,0.03508772,en,1.90000000,,7276557,L,65.14520000,-165.06798000,NORTH-AMERICA,United States,NWN
Queensland,Queensland,GPE,0.09868421,0.39473684,en,1.90000000,4103475-2,11523972,L,-16.56884000,142.48460000,OCEANIA,Australia,NAU
Portugal,Portugal,GPE,-0.03289474,0.26315789,en,1.90000000,4046843-4,2264397,A,39.69450000,-8.13057000,EUROPE-AFRICA,Portugal,MED
