,summary,Mitigation,Hazard,Impacts,Causes,Adaptation,word
salt lake,3.562983752097488,0.06881992490083197,-0.10710310800618827,0.008986420383966402,0.06839144529186031,0.0823271173745844,salt lake
music,3.5906493514939175,0.06823054373164682,-0.10652060195186504,0.009329826446826183,0.0678047211650535,0.08182570108366546,music
lake music,3.5906493514939175,0.06823054373164682,-0.10652060195186504,0.009329826446826183,0.0678047211650535,0.08182570108366546,lake music
festival,3.6261827809708524,0.06748294770440677,-0.10578099233331369,0.009763419754326893,0.06706046543478494,0.08118867077853426,festival
music festival,7.82772198498616,0.016903407898539443,-0.05445349693892462,0.03452528768958119,0.01663593786233959,0.03571584741037976,music festival
has,120.89806485170043,-0.11300923864628451,0.07376549774326205,0.0468749548707137,-0.0625565848365229,-0.09676204698167035,has
festival has,5.057035641980393,0.04388816269761652,-0.08207710070501713,0.02236068552659108,0.04355445348549052,0.060524357758083125,festival has
died,9.456527634088184,-0.08023105017550415,0.11842240071697811,-0.05485646262096695,-0.08048884586495711,-0.061101546286673046,died
has died,8.628585108260232,0.011393666520136096,-0.04879910298425897,0.0367682540746733,0.011135870830683238,0.030523170408967175,has died
family,9.049824575998365,-0.03339843850296981,0.03819901692028218,-0.007786615271132228,-0.03365595468759598,-0.014259777258133495,family
died family,3.7597726394037707,0.06476265350509039,-0.10308297694999904,0.011322442007443076,0.06435204367184012,0.07886118738658027,died family
says,6.233818438994559,0.03047052061693888,-0.06837497362917831,0.028673138821526757,0.03017396008125821,0.04832834071533372,says
family says,3.819430368190556,0.06359158016512866,-0.10191830283355473,0.011984642847017222,0.06318594588187561,0.07785465401423872,family says
woman,9.680903733062834,0.005094695703822372,-0.04234405315353799,0.039248110385962015,0.004846614249582746,0.02454236302637778,woman
says woman,3.886566686066042,0.06230415628693545,-0.10063576421034728,0.012706486076313967,0.06190389841186638,0.07674497250841464,says woman
who,14.47468909421037,-0.015289127004876961,-0.021605691763151094,0.046744493939049496,-0.015514080366525958,0.0049151719346998924,who
woman who,5.548585729011986,0.03781744402015694,-0.07589085087364708,0.025286427144541154,0.03750165055988766,0.055043148447813876,woman who
critically,5.731671624366103,0.035739461010702064,-0.07376783699248231,0.026260950442202495,0.03542937244468872,0.05315274431306872,critically
who critically,5.731671624366103,0.035739461010702064,-0.07376783699248231,0.026260950442202495,0.03542937244468872,0.05315274431306872,who critically
critically injured,4.513654185706812,0.05161291291535553,-0.08990544793197511,0.018459393771500306,0.0512535947190621,0.06740533016961653,critically injured
flying,7.497304180668053,0.019397257801611004,-0.0570138530821654,0.033485890371503235,0.019125022197246638,0.03805343686183209,flying
injured flying,6.463852379948472,0.02824294372844954,-0.06609167142729874,0.029668450187501017,0.02795171113937241,0.046275737487987155,injured flying
flying debris,9.226018642072143,-0.04131132519165818,0.051856547461175025,-0.014763543893734219,-0.0415677480379131,-0.02213684479966685,flying debris
trying,7.855518759893685,0.0166999437500947,-0.05424461997703309,0.034609407915169754,0.016432851625865656,0.03552477268597705,trying
while trying,7.855518759893685,0.0166999437500947,-0.05424461997703309,0.034609407915169754,0.016432851625865656,0.03552477268597705,while trying
escape,11.41163211990528,0.01799086779201112,-0.03733977274660026,0.03882232849542556,-0.00721002889973898,0.012834578081371825,escape
trying escape,9.499704748262536,0.0061138271393492115,-0.043387475321399235,0.03885268636139835,0.005864266163455628,0.025513050365583538,trying escape
storm,1448.8371946534105,-0.12832249261812584,0.08638679917435148,0.07659801730131158,-0.12852065981547006,-0.10724354267763077,storm
escape storm,14.515140374928212,-0.015422225137435077,-0.021471347020669083,0.04679113373833641,-0.015647063049890254,0.00478584754593284,escape storm
that,107.77248298130819,-0.18446267716394885,0.1803834262860832,-0.03082858082131186,-0.10866286107686707,-0.16404082931006897,that
storm that,27.105174112308756,-0.04258148737518733,0.005531754523244792,0.055823355459900394,-0.042789808949225204,-0.021833879449719335,storm that
disrupted,10.54201859724944,0.0005700547992074867,-0.037717354790234435,0.04097802810498178,0.00032813629782345777,0.0202194629111144,disrupted
that disrupted,10.54201859724944,0.0005700547992074867,-0.037717354790234435,0.04097802810498178,0.00032813629782345777,0.0202194629111144,that disrupted
Redwest,7.647543940141512,0.018245723938149914,-0.05583158545475317,0.03396776095791248,0.01797571972702566,0.03697507532506447,Redwest
disrupted red+west,7.647543940141512,0.018245723938149914,-0.05583158545475317,0.03396776095791248,0.01797571972702566,0.03697507532506447,disrupted red+west
Music,7.006857938355671,0.02337924833843725,-0.061101741210992606,0.03179334795863311,0.023098876270292994,0.041768523905255255,Music
red+west music,7.006857938355671,0.02337924833843725,-0.061101741210992606,0.03179334795863311,0.023098876270292994,0.041768523905255255,red+west music
Festival,6.656931115104312,0.026453273513729073,-0.06425615901131264,0.030457915922533024,0.02616615855338012,0.04462125225314128,Festival
over,64.37145903707872,-0.15907962905833795,0.14694872161368583,0.017186217479496117,-0.135216712646734,-0.14110539183334217,over
festival over,4.336173424276785,0.05441895255383459,-0.0927345841844559,0.016990300027356017,0.05404952005626718,0.06987775831117456,festival over
the,835.4581507678106,-0.1426201329970665,0.13069375169906328,0.042314828071185716,-0.1441814136032644,-0.14516524433914574,the
over the,17.77163723153006,0.0038466822609763687,0.01611701568360505,0.018537417060724874,-0.040253774432725604,-0.03397811328499581,over the
